filename,category,alt,title,description,keywords,status
vintage-dress-sand-sunset.webp,portraits,Girl in a vintage dress lying gracefully on the sand at sunset.,Vintage Dress on Sand at Sunset,"A girl in a beautiful vintage dress lies gracefully on the sand as the sun sets, casting warm hues — a serene scene of nostalgia and peacefulness.","portraits, girl, vintage, dress, beach, sunset, golden-hour",done
sunset-sunflower-field-joy.webp,portraits,Girl in shorts standing among blooming sunflowers as the sun sets.,Sunflower Field at Sunset,"Amid a vibrant sunflower field bathed in golden sunset light, a girl in shorts stands joyfully — summer freedom and nature's beauty.","portraits, girl, sunflowers, field, sunset, golden-hour, playful",done
natural-beauty-tall-grass.webp,portraits,"Girl posed artistically among tall grass, with soft natural light.",Natural Beauty in Tall Grass,"Posed artistically among lush tall grass, a girl embodies freedom and natural beauty — soft light creates a tranquil atmosphere.","portraits, girl, field, artistic, natural-light",done
yellow-tank-top-sunflower-field.webp,portraits,Girl in a yellow tank top standing among blooming sunflowers.,Yellow Tank Top in Sunflowers,"Surrounded by a lush sunflower field, a girl in a vibrant yellow tank top stands joyfully — a bright scene of happiness and warmth.","portraits, girl, sunflowers, field, playful",done
lace-pink-dress-blue-glacier.webp,portraits,Girl in a delicate lace pink dress posing before a blue glacier.,Pink Dress by a Blue Glacier,A girl in a delicate lace pink dress stands gracefully before a breathtaking blue glacier — a striking contrast of softness and nature's power.,"portraits, girl, dress, glacier, elegant",done
blue-gown-majesty-glacier.webp,portraits,Girl in a long blue gown with a flowing train standing before a magnificent blue glacier.,Blue Gown by a Glacier,"In an exquisite long blue gown with a flowing train, a girl stands majestically before a magnificent blue glacier.","portraits, girl, dress, glacier, elegant",done
pink-lace-dress-blue-glacier-contrast.webp,portraits,Girl in a lace pink dress posing in front of a striking blue glacier backdrop.,Pink Lace Dress & Blue Glacier,"A girl in a delicate lace pink dress stands gracefully before a breathtaking blue glacier, the contrast highlighting beauty against the power of nature.","portraits, girl, dress, glacier, elegant",done
swimsuit-horse-ride-sky.webp,portraits,Girl in a swimsuit riding a horse against a bright sky.,Swimsuit Horse Ride,"A girl in a stylish swimsuit rides a horse against a bright blue sky, embodying freedom and joy.","portraits, girl, horse, swimsuit, beach",done
elegant-black-woman-red-flower.webp,portraits,Black woman adorned with an exotic red flower in an elegant portrait.,Black Woman with a Red Flower,"A striking portrait captures a Black woman adorned with an exotic red flower, enhancing her natural elegance.","portraits, woman, flowers, portrait, elegant",done
girl-straw-hat-wildflowers.webp,portraits,Girl in a straw hat cradling a basket of vibrant wildflowers.,Straw Hat with Wildflowers,A girl in a straw hat gently cradles a basket of vibrant wildflowers — a portrait capturing a carefree spirit connected to nature.,"portraits, girl, flowers, field, vintage",done
red-gown-poppy-field.webp,portraits,Girl in a red gown with a flowing train standing in a vibrant poppy field.,Red Gown in a Poppy Field,"A girl in a flowing red dress with a train stands gracefully amidst a vibrant poppy field, her bold gown contrasting with the lush red flowers.","portraits, girl, dress, flowers, field, elegant",done
white-dress-lighthouse.webp,portraits,Girl in a flowing white dress standing gracefully by a coastal lighthouse.,White Dress at the Lighthouse,"A girl in a flowing white dress stands gracefully by a lighthouse, the serene coastal backdrop highlighting elegance.","portraits, girl, dress, ocean, lighthouse, elegant",done
luxury-yacht-blonde-beauty.webp,portraits,Blonde woman posing gracefully against the backdrop of a luxury yacht.,Blonde by a Luxury Yacht,"Against the backdrop of a luxurious yacht, a blonde woman poses gracefully — elegance and sophisticated style on the open water.","portraits, woman, ocean, swimsuit, fashion, elegant",done
girl-smelling-lotus-flower.webp,portraits,Girl in a vibrant lotus field gently smelling a lotus flower.,Smelling a Lotus,"Standing gracefully in a vibrant lotus field, a girl gently smells a lotus flower — a serene moment of appreciation for nature.","portraits, girl, flowers, lotus, field, intimate",done
shadow-play-portrait.webp,portraits,"Girl gently covering her face with her hand, casting intriguing shadows across her features.",Shadow Play,"A striking portrait of a girl covering her face with her hand, casting shadows that accentuate her features and evoke a sense of mystery.","portraits, girl, close-up, artistic, intimate",done
summer-swimsuit-beauty-beach.webp,portraits,Girl in a chic swimsuit posing on the beach with a sparkling ocean behind.,Summer Swimsuit on the Beach,"Posing confidently in a chic swimsuit on the beach, a girl embodies the spirit of summer with the sparkling ocean behind her.","portraits, girl, beach, swimsuit, ocean",done
tropical-bikini-pose-bamboo.webp,portraits,Athletic girl in a bikini leaning against a bamboo fence with palm trees behind.,Tropical Bikini Pose,A girl with a toned physique poses confidently in a bikini by a bamboo fence with lush palm trees behind — a vibrant tropical atmosphere.,"portraits, girl, swimsuit, palm-trees, tropical",done
reading-haystack-summer.webp,portraits,Girl in a swimsuit reading a magazine while sitting on a haystack in a peaceful countryside.,Reading on a Haystack,"In a peaceful countryside setting, a girl in a swimsuit leisurely reads a magazine on a haystack — summer relaxation and simple pleasures.","portraits, girl, swimsuit, field, vintage, playful",done
sunset-picnic-serenity.webp,portraits,Girl enjoying a picnic spread against a beautiful sunset backdrop.,Picnic at Sunset,"Enjoying a picnic spread as the sun sets, a girl is surrounded by stunning warm colors — a picturesque scene of tranquility and outdoor gathering.","portraits, girl, sunset, golden-hour, playful",done
friendship-tree-roots.webp,portraits,Two girls posing gracefully against the intricate roots of a tree.,By the Tree Roots,"Two girls stand gracefully against intricate tree roots, their poses reflecting friendship — an enchanting natural backdrop.","portraits, friends, forest, artistic",done
bw-ocean-contemplation-guy.webp,portraits,Black and white image of a man standing contemplatively in ocean waves.,B&W Ocean Contemplation,A striking black and white image shows a man standing in the ocean waves — monochromatic tones emphasize introspection and the raw beauty of the sea.,"portraits, man, ocean, black-and-white, intimate, artistic",done
green-eyes-palm-leaves.webp,portraits,Close-up portrait of a girl with striking green eyes among lush palm leaves.,Green Eyes Among Palm Leaves,"A captivating portrait features a girl with striking green eyes amidst lush palm leaves — vibrant greenery enhances a serene, exotic atmosphere.","portraits, girl, palm-trees, close-up, tropical, portrait",done
swimsuit-girl-palm-leaf-ocean.webp,portraits,Girl in a swimsuit holding a palm leaf against the ocean.,Swimsuit & Palm Leaf,"Against a stunning ocean backdrop, a girl in a swimsuit playfully holds a palm leaf — summer relaxation and tropical joy.","portraits, girl, beach, ocean, swimsuit, palm-trees, tropical",done
ocean-swimming-joy.webp,portraits,"Girl swimming in the ocean, submerged to her neck.",Ocean Swimming,"Swimming effortlessly in the ocean, submerged to her neck, a girl's joyful expression and the sparkling waves embody summer exhilaration.","portraits, girl, ocean, playful",done
loving-wedding-embrace-bw.webp,weddings,Black and white photo of a wedding couple in a tender embrace.,Loving Wedding Embrace,"A couple shares a tender embrace in this black and white wedding photo, monochromatic tones enhancing the emotional depth of the moment.","weddings, couple, black-and-white, romantic, intimate",done
floral-wedding-kiss.webp,weddings,Groom kissing his bride surrounded by stunning flowers.,Wedding Kiss Among Flowers,"A groom tenderly kisses his bride, surrounded by stunning flowers — vibrant blossoms create a romantic atmosphere highlighting their love.","weddings, bride, groom, flowers, romantic",done
elegant-interior-wedding-portrait.webp,weddings,Bride and groom posing together in a beautifully decorated interior.,Wedding Portrait in an Elegant Interior,"A bride and groom stand together in a stunning interior, the beautiful decor enhancing the romantic atmosphere of their wedding day.","weddings, bride, groom, interior, elegant, romantic",done
groom-photographing-bride.webp,weddings,Groom photographing his smiling bride in an elegant interior.,Groom Photographing the Bride,"A groom focuses his camera on his bride, who smiles joyfully in an elegant interior — a creative moment between the couple.","weddings, bride, groom, interior, playful, intimate",done
warm-toned-bride-groom-portrait.webp,weddings,Warm-toned portrait of a bride and groom together on their wedding day.,Warm-Toned Bride & Groom,"A portrait of a bride and groom in warm, soft tones — their expressions reflect happiness and connection on their special day.","weddings, bride, groom, romantic, intimate, portrait",done
bride-greenhouse-serenity.webp,weddings,Bride standing in a greenhouse surrounded by lush plants and flowers.,Bride in the Greenhouse,A bride stands gracefully in a greenhouse surrounded by vibrant plants — soft natural light enhances the romantic ambiance.,"weddings, bride, garden, flowers, natural-light, romantic",done
couple-embracing-greenery.webp,weddings,Bride and groom embracing in lush green surroundings.,Couple Embracing in Greenery,A bride and groom stand lovingly together amidst vibrant greenery — their intimate embrace creates a romantic atmosphere.,"weddings, bride, groom, garden, romantic",done
park-sunset-embrace.webp,weddings,Bride and groom embracing in a park bathed in warm sunset light.,Park Embrace at Sunset,"A bride and groom embrace in a park, framed by warm sunset hues — soft light enhances their connection in a magical wedding moment.","weddings, bride, groom, park, sunset, golden-hour, romantic",done
graceful-bride-bouquet.webp,weddings,Bride in an elegant gown holding a bouquet in an exquisite interior.,Graceful Bride with Bouquet,"In an exquisite interior, a bride in a beautiful gown holds her bouquet, embodying elegance and joy on her wedding day.","weddings, bride, dress, bouquet, interior, elegant",done
bw-sofa-portrait-bride-groom.webp,weddings,Black and white photo of a bride and groom on a sofa in an elegant interior.,Bride & Groom on a Sofa,A black and white image shows a bride and groom on a beautiful sofa in an elegant interior — intimacy and timeless love.,"weddings, bride, groom, interior, black-and-white, intimate",done
ocean-vows-ceremony.webp,weddings,Wedding couple exchanging vows by the ocean.,Vows by the Ocean,"A couple embraces while exchanging vows against the stunning ocean backdrop, celebrating their love and commitment.","weddings, couple, ocean, beach, romantic",done
seaside-wedding-vows.webp,weddings,Wedding couple embracing during their seaside ceremony.,Seaside Wedding Vows,"Embracing by the ocean, a couple exchanges vows — the beautiful scenery enhances the romantic atmosphere of their commitment.","weddings, couple, ocean, beach, romantic",done
wedding-champagne-celebration.webp,weddings,Newlyweds toasting with champagne to celebrate their wedding.,Champagne Celebration,"Newlyweds toast with champagne, smiles and celebratory atmosphere capturing the essence of their wedding celebration.","weddings, newlyweds, playful, romantic",done
engagement-ring-closeup.webp,weddings,Close-up of a sparkling engagement ring presented in an elegant ring box.,Engagement Ring,A detailed close-up of a ring box revealing a sparkling engagement ring — the promise of a future together.,"weddings, rings, close-up, intimate",done
passionate-kiss-by-sea.webp,weddings,Bride and groom kissing passionately against an ocean and sky backdrop.,Passionate Kiss by the Sea,"A bride and groom kiss passionately, framed by beautiful sky and serene ocean — an enchanting setting on their special day.","weddings, bride, groom, ocean, beach, romantic, intimate",done
pinky-promise-bond.webp,weddings,Close-up of a bride and groom's pinky fingers intertwined.,Pinky Promise,"A heartfelt close-up of a bride and groom's pinky fingers intertwined, symbolizing their bond and promise of love.","weddings, bride, groom, close-up, intimate, romantic",done
wedding-moments-collage.webp,weddings,"Collage: couple reading a newspaper, bride sleeping, couple and witnesses with colorful books.",Wedding Moments Collage,"A delightful collage: couple reading a newspaper, bride sleeping serenely, and the couple with witnesses reading colorful books — celebrating companionship.","weddings, couple, bride, groom, collage, playful, intimate",done
brides-tears-joy-bw.webp,weddings,"Black and white photo of a bride crying tears of joy at her wedding reception, surrounded by guests.",Bride's Tears of Joy,"A poignant black and white image of a bride overwhelmed with tears of joy during her wedding banquet, surrounded by guests celebrating love.","weddings, bride, black-and-white, intimate, romantic",done
elegant-veiled-bride-bw.webp,weddings,Black and white portrait of a graceful bride wearing a delicate veil.,Veiled Bride,A black and white portrait of a bride adorned with a delicate veil — monochromatic tones create a timeless bridal image.,"weddings, bride, veil, black-and-white, elegant, portrait",done
groom-getting-ready-collage-bw.webp,weddings,Black and white collage of candid moments of the groom getting ready for his wedding.,Groom Getting Ready,A black and white collage depicts the groom preparing for his wedding — moments of excitement and anticipation captured candidly.,"weddings, groom, collage, black-and-white, intimate",done
wedding-details-collage.webp,weddings,"Collage of wedding details: rings, elegant shoes, and vibrant flowers.",Wedding Details Collage,"A collage showcasing intricate wedding details — rings, elegant shoes, and vibrant flowers — reflecting the romantic ambiance of the day.","weddings, rings, flowers, collage, close-up",done
newlyweds-running-sea.webp,weddings,Newlyweds running hand-in-hand toward the ocean.,Running to the Sea,"Newlyweds joyfully run hand-in-hand toward the ocean, laughter evident as the waves approach — adventure and the blissful start of their journey.","weddings, newlyweds, ocean, beach, playful, romantic",done
newlyweds-pier-ocean.webp,weddings,Newlyweds sitting closely together on a wooden pier overlooking the ocean.,Newlyweds on the Pier,"Newlyweds sit closely on a wooden pier, feet dangling above the ocean — joy and intimacy on their special day.","weddings, newlyweds, ocean, pier, intimate, romantic",done
park-embrace-portrait-newlyweds.webp,weddings,"Newlyweds embracing tenderly in a park with a soft, blurred background.",Park Embrace,Newlyweds wrap each other in their arms in a scenic park — the soft background highlights their joyful expressions and tender embrace.,"weddings, newlyweds, park, romantic, intimate",done
confident-bride-bouquet.webp,weddings,Bride holding a bouquet and looking confidently at the camera.,Bride with Bouquet,"A bride gazes directly at the camera, holding a beautiful bouquet — her expression radiates confidence and joy on her special day.","weddings, bride, bouquet, portrait, elegant",done
newlyweds-window-reflection.webp,weddings,"Reflection of newlyweds in a window, showing their connection.",Window Reflection,The reflection of newlyweds in a window — subtle light and a soft background enhance the romantic atmosphere and their bond.,"weddings, newlyweds, romantic, intimate, artistic",done
wedding-rings-shadow-play.webp,weddings,"Hands holding wedding rings, with a beautiful interplay of light and shadow.",Wedding Rings & Shadow Play,"An artistic image of hands holding wedding rings — intricate shadows add depth and beauty, symbolizing love and unity.","weddings, rings, close-up, artistic",done
bride-flowers-veil.webp,weddings,"Bride lying in a park among flowers, her veil flowing gracefully around her.",Bride Among Flowers,"A bride reclines gracefully in a park among vibrant flowers, her flowing veil cascading elegantly — a dreamy, romantic atmosphere.","weddings, bride, veil, flowers, park, romantic",done
lotus-pond-reflection-newlyweds.webp,weddings,Reflection of a newlywed couple in a tranquil lotus pond.,Lotus Pond Reflection,The reflection of newlyweds in a tranquil lotus pond — a mesmerizing image symbolizing love and the serene beauty of their day.,"weddings, newlyweds, flowers, lotus, romantic, artistic",done
elegant-bride-flowing-veil.webp,weddings,Bride with a gracefully flowing veil framing her face.,Bride with a Flowing Veil,A portrait of a bride with a gracefully flowing veil framing her face — elegance and the emotion of her wedding day.,"weddings, bride, veil, portrait, elegant",done
vintage-book-rings-still-life.webp,weddings,Wedding rings resting on a vintage book surrounded by dried roses.,Vintage Book & Rings,"Wedding rings rest atop an antique book surrounded by dried roses — a romantic, nostalgic still life symbolizing timeless love.","weddings, rings, vintage, flowers, close-up",done
romantic-still-life-couple.webp,weddings,Wedding rings on a vintage book with dried roses; couple softly blurred behind.,Still Life with Couple,"Wedding rings on an old book with dried roses, while a couple is softly blurred behind — a still life symbolizing lasting love.","weddings, rings, couple, vintage, flowers, romantic",done
grooms-wedding-prep-collage.webp,weddings,Collage showing various moments of a groom preparing for his wedding day.,Groom's Prep Collage,"A collage showing the groom preparing for his wedding — adjusting his tie, polishing shoes, sharing laughs — anticipation and joy.","weddings, groom, collage, intimate",done
bw-wedding-moments-collage.webp,weddings,"Black and white collage: bride with bouquet, wedding rings, couple in elegant interior.",B&W Wedding Collage,"A black and white collage: bride holding her bouquet, close-up of rings, and the couple in an elegant interior — timeless romance.","weddings, bride, groom, rings, bouquet, collage, black-and-white",done
groom-botanical-garden-blurred-bride.webp,weddings,Groom standing in a botanical garden with the bride softly blurred in the background.,Groom in the Garden,"A groom stands confidently in a vibrant botanical garden — the bride softly blurred behind him, a dreamy romantic touch.","weddings, bride, groom, garden, romantic",done
winged-couple-fantasy-portrait.webp,weddings,"Bride and groom posed together with large white wings, in a fantasy-like atmosphere.",Winged Couple,"A bride and groom adorned with large white wings — a whimsical, ethereal atmosphere embodying love and magic.","weddings, bride, groom, artistic, romantic",done
elegant-bride-portrait-light-play.webp,weddings,Warm-toned portrait of a bride with light playing across her eyes.,Bride with Light Play,"A portrait of a bride in warm tones, soft light dancing across her eyes — elegance, grace, and timeless beauty.","weddings, bride, portrait, intimate, elegant",done
beach-wedding-celebration.webp,weddings,"Bride, groom, and guests celebrating together on a beach by the ocean.",Beach Wedding Celebration,A bride and groom surrounded by guests on a beautiful beach — the stunning ocean backdrop fills the scene with joy and laughter.,"weddings, bride, groom, friends, ocean, beach, playful",done
newlyweds-under-drone-show.webp,weddings,Newlyweds watching a spectacular drone show illuminating the night sky.,Newlyweds Under a Drone Show,Newlyweds gaze at a spectacular drone show illuminating the night sky — vibrant lights create a breathtaking backdrop.,"weddings, newlyweds, night, romantic",done
magical-drone-show-celebration.webp,weddings,Newlyweds standing before a vibrant drone show against the night sky.,Drone Show Celebration,Newlyweds watch a spectacular drone show light up the night — the vibrant display enhances the romantic atmosphere of their celebration.,"weddings, newlyweds, night, romantic",done
father-son-hot-dog-fun.webp,family,"Father and son in matching yellow outfits, eating hot dogs together.",Father & Son Hot Dog Fun,"A father and son share a playful moment, enjoying hot dogs in matching bright yellow outfits — a snapshot of simple joys.","family, father, son, playful",done
woman-holding-baby-autumn.webp,family,Young woman gently holding a baby in a colorful autumn park.,Holding Baby in Autumn,A young woman gently cradles a baby amidst vibrant autumn park colors — love and connection in nature.,"family, mother, baby, autumn, park, intimate",done
autumn-park-tenderness.webp,family,Young woman holding a baby tenderly in an autumn park.,Autumn Park Tenderness,"In a cozy autumn park atmosphere, a young woman holds a baby tenderly — warm tones and golden leaves highlight their loving connection.","family, mother, baby, autumn, park, intimate",done
father-kids-autumn-park.webp,family,Young father with his one-year-old daughter and five-year-old son in an autumn park.,Father with Kids in Autumn,"A young father enjoys quality time with his daughter and son in a picturesque autumn park, surrounded by colorful fall leaves.","family, father, daughter, son, autumn, park, playful",done
mother-daughter-forest-smiles.webp,family,Mother and her one-year-old daughter smiling together in an autumn forest.,Mother & Daughter in the Forest,A mother and her one-year-old daughter beam with joy amidst vibrant autumn forest colors — happy expressions and a special bond.,"family, mother, daughter, autumn, forest, intimate",done
jungle-family-adventure.webp,family,"Mother, father, and daughter smiling together in lush jungle greenery.",Jungle Family Adventure,A joyful family of three smiles brightly amidst lush jungle greenery — the vibrant foliage reflects their adventurous spirit.,"family, mother, father, daughter, forest, tropical, playful",done
four-generations-yellow.webp,family,"Grandmother, mother, sister, and daughter in matching yellow outfits.",Four Generations in Yellow,"Four generations of women — grandmother, mother, sister, daughter — in matching yellow outfits radiate joy and togetherness.","family, mother, daughter, sisters, portrait",done
mother-daughter-pink-background.webp,family,Mother and one-year-old daughter smiling against a soft pink background.,Mother & Daughter on Pink,"A mother and her one-year-old daughter smile joyfully against a soft pink backdrop — warm tones create a playful, loving atmosphere.","family, mother, daughter, studio, playful, intimate",done
autumn-leaf-play-family.webp,family,Family playing with colorful leaves in an autumn forest.,Autumn Leaf Play,"A family joyfully plays with colorful leaves in an autumn forest — laughter fills the air as they toss leaves, celebrating the season.","family, autumn, forest, playful",done
christmas-morning-gift-opening.webp,family,Mother and daughter in pajamas opening Christmas gifts by the tree.,Christmas Morning,A mother and daughter in cozy pajamas open presents by a decorated Christmas tree — the joy and magic of holiday traditions.,"family, mother, daughter, christmas, interior, intimate",done
newborn-peace-basket.webp,family,"Newborn baby sleeping peacefully, nestled in a cozy basket.",Newborn in a Basket,A newborn baby sleeps peacefully in a cozy basket wrapped in soft blankets — the beauty and innocence of infancy.,"family, newborn, baby, intimate, close-up",done
joyful-family-studio-portrait.webp,family,"Mother, father, and their playful two-year-old son in a studio portrait.",Family Studio Portrait,"A joyful family — mother, father, and playful two-year-old son — in a studio setting, warm smiles reflecting their deep bond.","family, mother, father, son, studio, portrait",done
autumn-park-family-fun.webp,family,Family enjoying time together amidst vibrant fall foliage in an autumn park.,Family in an Autumn Park,"A family happily spends time together in a picturesque autumn park, sharing laughter amidst vibrant fall foliage.","family, autumn, park, playful",done
daughters-kissing-mom-autumn.webp,family,Two daughters tenderly kissing their mother in a colorful autumn forest.,Daughters Kissing Mom,Two daughters tenderly kiss their mother in a beautiful autumn forest — warm smiles and vibrant fall colors highlight a loving family connection.,"family, mother, daughter, sisters, autumn, forest, intimate",done
family-camping-adventure.webp,family,Family enjoying time outdoors with tents set up for camping.,Family Camping,A family enjoys a camping adventure surrounded by tents in the great outdoors — laughter fills the air as they create lasting memories.,"family, forest, playful",done
large-family-beach-gathering.webp,family,Large family gathered together on a sandy beach by the ocean.,Family on the Beach,A large family happily gathers on the beach by the ocean — smiles and laughter create a lively atmosphere of love and togetherness.,"family, beach, ocean, playful",done
friends-beach-fun.webp,family,Group of friends laughing together on the beach with the ocean behind.,Friends on the Beach,Friends enjoy themselves on the beach by the sparkling ocean — joyful expressions reflect carefree friendship and the excitement of a day by the sea.,"family, friends, beach, ocean, playful",done
